title,price,isbn,publication_year,language,cover_type,pages_number,author_id,publisher_id,book_id,genre,rating
"Սերս, խոհերս, հայրենիքս",5000.0,9789939607900,2023.0,Armenian,Soft,195.0,38,4,40,Romance,1.6
Մանկաբուժություն․ Դասախոսություններ,10000.0,9789939769547,2023.0,Armenian,Hard,135.0,39,4,41,Science Fiction,3.1
Նահատակների կտակը,8400.0,9789939039961,2023.0,Armenian,Ultrathin,318.0,40,4,42,Mystery,0.2
Այսպես սպանեցինք,6800.0,9789939039954,2023.0,Armenian,Ultrathin,173.0,41,4,43,Mystery,3.7
Օրերիս հետ,11800.0,9789939027999,2023.0,Armenian,Ultrathin,526.0,42,4,44,Biography,4.3
IELTS Frontiers + CD,7000.0,9789939043999,2023.0,English,Soft,210.0,43,4,45,Fantasy,1.0
Ակեղդամա․ հատոր 2,8000.0,9789939917672,2023.0,Armenian,Soft,260.0,44,4,46,Biography,4.9
Курёхин. Шкипер о Капитане,7700.0,9785171181321,2023.0,Russian,Hard,352.0,45,11,47,Romance,3.3
Прыжок,5400.0,9785171537302,2023.0,Russian,Hard,352.0,46,11,48,Fantasy,1.8
Корейский язык. Грамматика для начинающих. Уровни TOPIK I 12,2900.0,9785171524302,2023.0,Russian,Soft,128.0,47,11,49,Science Fiction,4.5
Письма о добром и прекрасном,4100.0,9785171345372,2023.0,Russian,Soft,192.0,48,11,50,Biography,3.7
До самого рая,8400.0,9785171455187,2023.0,Russian,Hard,576.0,49,11,51,Non-Fiction,0.8
На краю пропасти,10200.0,9785171473129,2023.0,Russian,Hard,528.0,50,11,52,History,2.7
Главные песни ХХ века. От Диксиленда до хипхопа,7600.0,9785171329808,2023.0,Russian,Hard,400.0,45,11,53,Thriller,4.5
Книга для родителей,1800.0,9785171534790,2023.0,Russian,Soft,512.0,51,11,54,Mystery,2.6
Греческий язык без репетитора. Самоучитель греческого языка,2300.0,9785171448936,2023.0,Russian,Soft,320.0,52,11,55,Biography,2.2
Космический детектив. ФуФу и КисКис идут по следу,4800.0,9785171547981,2023.0,Russian,Hard,32.0,53,11,56,History,3.7
Темная сторона,4400.0,9785171544454,2023.0,Russian,Hard,352.0,54,11,57,Non-Fiction,1.7
Простые волшебные вещи,4400.0,9785171541330,2023.0,Russian,Hard,352.0,54,11,58,Romance,1.6
Чужак,5100.0,9785171518066,2023.0,Russian,Hard,640.0,54,11,59,History,0.2
Ленин,5500.0,9785171514730,2023.0,Russian,Hard,320.0,55,11,60,Self-Help,1.3
Бусидо. Кодекс чести самурая,3900.0,9785171499129,2023.0,Russian,Hard,192.0,56,11,61,Mystery,0.8
Сталин,3200.0,9785171514549,2023.0,Russian,Soft,640.0,57,11,62,Non-Fiction,1.1
Мактуб,4400.0,9785171551902,2023.0,Russian,Hard,256.0,58,11,63,History,1.1
"Ада, или Отрада",7800.0,9785171391072,2023.0,Russian,Hard,800.0,59,11,64,Self-Help,0.7
Три Поросенка в стиле Василия Кандинского,2200.0,9785907399846,2023.0,Russian,Soft,16.0,60,12,65,Fiction,3.2
Снежная Королева в стиле Пабло Пикассо,3800.0,9785907237100,2023.0,Russian,Hard,14.0,61,12,66,Biography,4.6
Алиса в Стране Чудес в стиле Сальвадора Дали,3800.0,9785907237155,2023.0,Russian,Hard,14.0,62,12,67,Fiction,2.1
Гадкий Утенок в стиле Винсента Ван Гога,3800.0,9785907237162,2023.0,Russian,Hard,14.0,61,12,68,Science Fiction,1.5
Красавица и Чудовище в стиле Густава Климта,3800.0,9785907237124,2023.0,Russian,Hard,14.0,63,12,69,Non-Fiction,3.5
Маша и Медведь в стиле Бориса Кустодиева,3800.0,9785907399266,2023.0,Russian,Hard,14.0,64,12,70,Mystery,4.2
Снежная Королева в стиле Пабло Пикассо,2200.0,9785907399747,2023.0,Russian,Soft,16.0,64,12,71,Mystery,4.3
Русалочка в стиле Клода Моне,2200.0,9785907399709,2023.0,Russian,Soft,16.0,64,12,72,History,3.2
Мини-книга-диктофон Золушка,9200.0,9785604284001,2023.0,Russian,Hard,10.0,63,12,73,Thriller,0.5
Щелкунчик,8800.0,9785604284032,2023.0,Russian,Hard,10.0,65,12,74,Mystery,2.0
Բարի Գործերի քաղաք,3500.0,9789939663463,2023.0,Armenian,Hard,174.0,66,13,75,Thriller,0.9
Արցունքներ դրախտում,2900.0,9789939663555,2023.0,Armenian,Hard,390.0,67,13,76,History,1.7
Ռեզիդենտը,6500.0,9789939663081,2023.0,Armenian,Hard,470.0,68,13,77,Romance,1.4
"Ով լաց կլինի, երբ դու մահանաս",4900.0,9789939662817,2023.0,Armenian,Hard,232.0,69,13,78,Biography,0.2
Նուպար,3700.0,9789939663487,2023.0,Armenian,Hard,400.0,70,13,79,Mystery,3.1
Մենակը,5500.0,9789939663074,2023.0,Armenian,Hard,352.0,68,13,80,Self-Help,4.5
Հարստանալու քո սեփական ուղին,5900.0,9789939663531,2023.0,Armenian,Hard,376.0,71,13,81,Science Fiction,0.0
Հայ ազգի ծագումը,5600.0,9789939663654,2023.0,Armenian,Hard,196.0,72,13,82,Romance,2.9
Խոդեդան,5500.0,9789939663593,2023.0,Armenian,Hard,534.0,73,13,83,Thriller,2.0
Հարրի Փոթերը և փիլիսոփայական քարը (փափուկ կազմ),3900.0,9789939990156,2023.0,Armenian,Soft,304.0,74,8,84,Biography,2.8
Զրուցելով Պուտինի հետ,5800.0,9789939884738,2023.0,Armenian,Hard,348.0,75,1,85,Fiction,2.2
Արծիվը իր բոյնին մէջ,3700.0,9789939663470,2023.0,Armenian,Hard,265.0,70,13,86,Biography,4.6
"Առաջնորդության ութ խորհուրդ վանականից, որը վաճառեց իր ""Ֆերարին""",4900.0,9789939662862,2023.0,Armenian,Hard,370.0,69,13,87,History,4.9
Աշխարհի մեծագույն գաղտնիքը,5500.0,9789939663517,2023.0,Armenian,Hard,244.0,26,13,88,Biography,0.3
Աշխարհի մեծագույն առեղծվածը,4700.0,9789939663524,2023.0,Armenian,Hard,164.0,26,13,89,Romance,2.7
Այբոլիտ․Գիրք- համայնապատկեր,2400.0,9789939663234,2023.0,Armenian,Soft,10.0,76,13,90,Science Fiction,0.5
987,3500.0,9789939663500,2023.0,Armenian,Hard,176.0,66,13,91,History,4.0
Լալան ու խատուտիկը,2000.0,9789939607979,2023.0,Armenian,Soft,20.0,77,4,92,Self-Help,4.5
Лала и одуванчик,2000.0,9789939607962,2023.0,Russian,Soft,21.0,77,4,93,Non-Fiction,1.0
365 արար,2500.0,9789939606521,2023.0,Armenian,Hard,185.0,77,4,94,Science Fiction,1.2
Անմահութեան աղբիւրը,3000.0,9789757265993,2023.0,Western Armenian,Soft,80.0,78,4,95,Thriller,3.3
Հայ մեծ-ման,4000.0,9786050100400,2023.0,Western Armenian,Soft,72.0,79,4,96,Biography,1.0
Թագաւորն ու ծովը,4500.0,9786057469274,2023.0,Western Armenian,Soft,48.0,80,4,97,Fiction,3.9
Ոսկի պտուկը,4000.0,9789757265221,2023.0,Western Armenian,Soft,50.0,78,4,98,Fantasy,0.8
Հպարտ չղջիկը,3000.0,9789757265405,2023.0,Western Armenian,Soft,54.0,78,4,99,Science Fiction,4.9
Կավռօշ-նամէ,8000.0,9786052100370,2023.0,Western Armenian,Soft,600.0,81,4,100,Biography,3.3
Աստղերու հեղեղ,5000.0,9786052100196,2023.0,Western Armenian,Soft,185.0,82,4,101,History,2.6
Բեմի ընկերներս,5000.0,9786052100882,2023.0,Western Armenian,Soft,176.0,83,4,102,Thriller,3.4
The theatre and cinema of Arby Ovanissian,12000.0,9789939113272,2023.0,English,Hard,350.0,84,4,103,Biography,2.8
Գարեգին Պատրիարք Խաչատուրեան,4000.0,9789757265597,2023.0,Western Armenian,Soft,191.0,85,4,104,Mystery,2.6
Վարդ եւ Շուշան,5000.0,2002411000004,2023.0,Western Armenian,Hard,86.0,82,4,105,Fiction,1.1
Զէր0,3000.0,9789939899466,2023.0,Western Armenian,Soft,80.0,86,4,106,History,3.9
Զարմանալի աշխարհ,4000.0,9789757265559,2023.0,Western Armenian,Soft,256.0,87,4,107,Thriller,1.5
Մեծ Պատրիարքը,5000.0,9786055753382,2023.0,Western Armenian,Soft,264.0,88,4,108,Romance,3.9
Համադրական մեթոտ հայերէն լեզուի․ L’Arménien Global․ Méthode d'arménien occidental,21000.0,9782490756063,2023.0,Western Armenian,Soft,300.0,89,4,109,History,4.6
Հէգ թուղթի կտորներ,3000.0,9789757265153,2023.0,Western Armenian,Soft,160.0,90,4,110,Mystery,4.2
Կարպիս Ճանճիկեանի հետքերով,4000.0,9786055753610,2023.0,Western Armenian,Soft,184.0,91,4,111,Thriller,0.9
Յաղթանակի ճամբան,4000.0,9789757265634,2023.0,Western Armenian,Soft,336.0,88,4,112,Biography,2.3
Պանդուխտ երգեր,3000.0,9786055753368,2023.0,Western Armenian,Soft,130.0,92,4,113,Biography,4.9
Անցուկը մոռցուկ,8000.0,9786052100806,2023.0,Western Armenian,Soft,586.0,93,4,114,Fiction,1.3
Գաւառէն ձայներ,4000.0,9786055753719,2023.0,Western Armenian,Soft,158.0,94,4,115,Fantasy,4.4
Հացին երգը,4000.0,9786052100424,2023.0,Western Armenian,Flexible,107.0,95,4,116,Biography,3.4
Անհուն երկինք աչքերու մէջ,4000.0,9786052100981,2023.0,Western Armenian,Soft,95.0,96,4,117,Self-Help,2.3
Քավություն,5400.0,9789939689913,2023.0,Armenian,Ultrathin,295.0,97,8,118,Romance,3.2
Օսկարը և վարդագույն տիկինը,4900.0,9789939930121,2023.0,Armenian,Hard,226.0,98,14,119,Fiction,1.6
Эли и Мо. День без интернета,5900.0,9785907399327,2023.0,Russian,Hard,64.0,99,12,120,Science Fiction,2.7
Карлик Нос в стиле Рене Магритта,3800.0,9785907399273,2023.0,Russian,Hard,14.0,64,12,121,Non-Fiction,4.6
Последний кот в сапогах,5600.0,9785907399341,2023.0,Russian,Hard,144.0,100,12,122,Thriller,5.0
Красная Шапочка в стиле Поп-Арт,3800.0,9785907237117,2023.0,Russian,Hard,14.0,63,12,123,Mystery,4.7
Мини-книга-диктофон Волк и семеро козлят,9200.0,9785604191163,2023.0,Russian,Hard,10.0,64,12,124,Science Fiction,3.3
Мини-книга-диктофон Кот в сапогах,9200.0,9785604284025,2023.0,Russian,Hard,10.0,63,12,125,Self-Help,0.8
Մեզնից մեկը ստում է,5800.0,9789939884875,2023.0,Armenian,Hard,440.0,101,1,126,Self-Help,0.3
Гадкий Утенок в стиле Винсента Ван Гога,2200.0,9785907399662,2023.0,Russian,Soft,16.0,64,12,127,Thriller,0.2
Рапунцель в стиле Альфонса Мухи,2200.0,9785907399693,2023.0,Russian,Soft,16.0,64,12,128,History,2.9
Мальчик-с-пальчик в стиле Альбрехта Дюрера,2200.0,9785907399419,2023.0,Russian,Soft,16.0,64,12,129,Fiction,0.9
Алиса в стране чудес в стиле Сальвадора Дали,2200.0,9785907399464,2023.0,Russian,Soft,16.0,64,12,130,Science Fiction,0.8
Бременские музыканты в стиле Рембрандта,2200.0,9785907399433,2023.0,Russian,Soft,16.0,64,12,131,Romance,4.1
Красавица и чудовище в стиле Климта,2200.0,9785907399440,2023.0,Russian,Soft,16.0,64,12,132,Self-Help,3.2
Дюймовочка в стиле Марка Шагала,2200.0,9785907399457,2023.0,Russian,Soft,16.0,64,12,133,Non-Fiction,1.0
Снегурочка в стиле Василия Сурикова,2200.0,9785907399730,2023.0,Russian,Soft,16.0,102,12,134,Thriller,0.0
Красная Шапочка в стиле Поп-Арт,2200.0,9785907399686,2023.0,Russian,Soft,16.0,63,12,135,Thriller,3.0
Сенбернар Бэрри,2400.0,9785907520288,2023.0,Russian,Soft,36.0,103,12,136,Biography,1.5
Школа леса,5500.0,9785907520066,2023.0,Russian,Hard,56.0,103,12,137,Non-Fiction,4.6
Опасные приключения Веры и Саши. Уровень: Одни дома,1500.0,9785907520264,2023.0,Russian,Soft,32.0,104,12,138,Non-Fiction,3.9
Школа джунглей,5500.0,9785907520059,2023.0,Russian,Hard,56.0,103,12,139,Self-Help,1.2
Опасные приключения Веры и Саши. Уровень: Транспорт,1500.0,9785907520257,2023.0,Russian,Soft,32.0,104,12,140,Self-Help,3.3
Мобилизованная нация. Германия 1939–1945,12100.0,9785389135505,2023.0,Russian,Hard,688.0,105,15,141,Biography,1.6
Во все тяжкие бизнес-сторителлинга. PR и маркетинг эпохи HBO,5300.0,9785041131050,2023.0,Russian,Soft,224.0,106,16,142,Romance,3.4
Читать Маркса,3500.0,9785759821380,2023.0,Russian,Soft,176.0,107,17,143,History,4.3
Юность,8500.0,9785604474952,2023.0,Russian,Soft,168.0,108,18,144,Non-Fiction,3.9
Торжество незначительности,4100.0,9785389220478,2023.0,Russian,Hard,160.0,109,19,145,Science Fiction,0.5
Преступления Арсена Люпена,6800.0,9785389211698,2023.0,Russian,Hard,736.0,110,15,146,Romance,4.1
Рубаи,5900.0,9785389220393,2023.0,Russian,Hard,416.0,111,19,147,Fantasy,2.5
Неспешность. Подлинность,4300.0,9785389216310,2023.0,Russian,Hard,288.0,109,15,148,History,4.0
Консуэло,5900.0,9785389214033,2023.0,Russian,Hard,832.0,112,19,149,Fiction,4.0
Илиада. Одиссея,6700.0,9785389203099,2023.0,Russian,Hard,832.0,113,15,150,History,5.0
Гений. Оплот,7200.0,9785389214026,2023.0,Russian,Hard,1024.0,114,19,151,Fantasy,3.8
Зеркало загадок,5200.0,9785389211551,2023.0,Russian,Hard,480.0,115,20,152,Science Fiction,1.0
Думая вслух. Семь вечеров,6100.0,9785389214248,2023.0,Russian,Hard,384.0,115,20,153,Thriller,0.7
Дом тишины,5900.0,9785389216990,2023.0,Russian,Hard,480.0,116,19,154,Fiction,2.4
Графиня де Монсоро,6900.0,9785389221307,2023.0,Russian,Hard,960.0,117,19,155,Biography,1.0
Камо грядеши,5600.0,9785389146914,2023.0,Russian,Hard,608.0,118,19,156,Mystery,2.9
I love Dick,7900.0,9785604247860,2023.0,Russian,Soft,280.0,119,18,157,Mystery,2.3
Бессмертие,4600.0,9785389216303,2023.0,Russian,Hard,416.0,109,15,158,Fiction,2.0
О военном искусстве,6600.0,9785389217201,2023.0,Russian,Flexible,320.0,120,20,159,Mystery,2.4
Портрет Дориана Грея. Роман. Повести. Рассказы. Сказки. Поэмы. Эссе,6900.0,9785389218628,2023.0,Russian,Hard,928.0,121,19,160,Non-Fiction,4.5
Будущее: принципы и практики созидания,4900.0,9785907163249,2023.0,Russian,Soft,160.0,122,21,161,Mystery,1.3
Памяти памяти,9100.0,9785983792562,2023.0,Russian,Hard,408.0,123,22,162,Romance,1.2
Свобода,4800.0,9785983792616,2023.0,Russian,Soft,204.0,124,22,163,Fiction,0.4
Campo santo,5100.0,9785983792494,2023.0,Russian,Soft,242.0,125,22,164,Non-Fiction,4.2
Мартиролог. Дневники 1970-1986,37200.0,9788890330148,2023.0,Russian,Hard,656.0,126,23,165,Thriller,1.0
Состояние постмодерна. Исследование истоков культурных изменений,8400.0,9785759823698,2023.0,Russian,Hard,576.0,127,17,166,Self-Help,1.4
Minima philologica: 95 тезисов о филологии За филологию,3800.0,9785890593863,2023.0,Russian,Soft,216.0,128,24,167,Fiction,2.0
Постправда. Знание как борьба за власть,6500.0,9785759821908,2023.0,Russian,Hard,368.0,129,17,168,History,2.2
Философский постгуманизм,6500.0,9785759825845,2023.0,Russian,Soft,360.0,130,17,169,Non-Fiction,4.6
Хозяйство и общество. Очерки понимающей социологии. В 4-х томах. Том 1. Социология,7900.0,9785759825364,2023.0,Russian,Hard,448.0,131,17,170,Biography,0.4
Хозяйство и общество. Очерки понимающей социологии. В 4-х томах. Господство. Том IV,8000.0,9785759815167,2023.0,Russian,Hard,544.0,131,17,171,Thriller,1.8
Моральное воспитание,7400.0,9785759825302,2023.0,Russian,Hard,456.0,132,17,172,Biography,4.9
Основы математического анализа,6100.0,9785759811831,2023.0,Russian,Hard,368.0,133,17,173,Non-Fiction,1.0
Мы никогда не были средним классом,3600.0,9785759825340,2023.0,Russian,Hard,200.0,134,17,174,Science Fiction,2.6
Джим Джармуш. Стихи и музыка,3900.0,9785444809594,2023.0,Russian,Soft,240.0,135,25,175,History,2.3
Красный. История цвета,5700.0,9785444817551,2023.0,Russian,Hard,160.0,136,25,176,Mystery,3.5
Синий. История цвета,5700.0,9785444818015,2023.0,Russian,Hard,144.0,136,25,177,Fiction,1.1
Черный. История цвета,6600.0,9785444818459,2023.0,Russian,Hard,168.0,136,25,178,Non-Fiction,4.7
Событие,6300.0,9785604645048,2023.0,Russian,Soft,80.0,137,18,179,History,2.5
Память девушки,6300.0,9785604645055,2023.0,Russian,Soft,160.0,137,18,180,Fantasy,0.9
Женщина,6300.0,9785604728833,2023.0,Russian,Soft,80.0,137,18,181,Thriller,0.8
Во власти,6300.0,9785604728864,2023.0,Russian,Soft,80.0,137,18,182,Biography,2.6
Расцветает самая красная из роз,8600.0,9785604247877,2023.0,Russian,Hard,172.0,138,18,183,Fantasy,2.2
Внутри зеркальной галереи,10100.0,9785604645017,2023.0,Russian,Hard,168.0,138,18,184,Fantasy,0.8
Синеты,5700.0,9785604247815,2023.0,Russian,Soft,96.0,139,18,185,Self-Help,4.7
Лица,6300.0,9785604645086,2023.0,Russian,Soft,160.0,108,18,186,Non-Fiction,4.9
"Ползут, чтоб вновь родиться в Вифлиеме",9200.0,9785604596159,2023.0,Russian,Soft,248.0,140,18,187,Romance,2.5
Комната Вильхельма,7800.0,9785604728840,2023.0,Russian,Soft,192.0,108,18,188,Fantasy,1.9
Опросник,5100.0,9785985852783,2023.0,Russian,Soft,24.0,141,26,189,Self-Help,1.9
Кинг-конг-теория,5100.0,9785604247808,2023.0,Russian,Soft,112.0,142,18,190,Romance,4.0
Писатель и его издатель,8200.0,9785604694749,2023.0,Russian,Soft,217.0,143,26,191,Fantasy,3.4
Белая княгиня,2400.0,9785905486579,2023.0,Russian,Soft,34.0,144,26,192,Thriller,1.5
Мечтатели,4900.0,9785604587232,2023.0,Russian,Soft,110.0,145,26,193,Fantasy,3.2
Лошадки Тарквинии,6500.0,9785604694787,2023.0,Russian,Soft,195.0,146,26,194,Mystery,3.6
Школьные сочинения Фритца Кохера,4900.0,9785985852998,2023.0,Russian,Soft,128.0,147,26,195,Romance,1.8
Сочинения,5800.0,9785604818428,2023.0,Russian,Soft,157.0,147,26,196,History,5.0
Хельдерлин,5200.0,9785905486692,2023.0,Russian,Soft,108.0,148,26,197,Romance,4.2
Маркитантка Кураж и ее дети,4400.0,9785604587225,2023.0,Russian,Soft,80.0,149,26,198,History,2.2
Диалоги с Сокуровым,8000.0,9785604388730,2023.0,Russian,Hard,288.0,150,27,199,Fiction,4.2
Леос Каракс. История(и) любви,6200.0,9785604388792,2023.0,Russian,Soft,176.0,135,27,200,History,2.7
Хроники,2900.0,9785890593931,2023.0,Russian,Hard,240.0,151,24,201,Non-Fiction,2.1
Бизнес в стиле Макдоналдс,7300.0,9785961477511,2023.0,Russian,Hard,208.0,152,28,202,Romance,2.6
Надаш. Пьесы,3200.0,9785604312661,2023.0,Russian,Soft,320.0,153,29,203,Biography,1.3
Гленн Гульд берет интервью у Гленна Гульда о Гленне Гульде,2100.0,9785604593516,2023.0,Russian,Soft,48.0,154,29,204,Thriller,3.2
Гениальные воры. О смысле и значении плагиата,4100.0,9000026660326,2023.0,Russian,Soft,54.0,155,26,205,Thriller,4.8
Неопределенность,3100.0,9785604593509,2023.0,Russian,Soft,120.0,156,29,206,Romance,0.3
Другой материал. Фрагменты о Густаве Малере,3900.0,9785604593585,2023.0,Russian,Soft,312.0,157,29,207,Fantasy,4.9
Избранные стихотворения,2500.0,9785604660119,2023.0,Russian,Soft,40.0,158,29,208,Thriller,2.7
Как слушать музыку,7300.0,9785961429985,2023.0,Russian,Soft,248.0,159,28,209,Thriller,1.3
Икигай: Японские секреты долгой и счастливой жизни,2700.0,9785961483741,2023.0,Russian,Soft,176.0,160,28,210,Mystery,3.8
Компас эмоций: Как разобраться в своих чувствах,3100.0,9785961485806,2023.0,Russian,Soft,156.0,161,28,211,Romance,1.7
Мистика лидерства. Развитие эмоционального интеллекта,3600.0,9785961485004,2023.0,Russian,Soft,404.0,162,28,212,Fiction,4.7
Обучение как приключение,3100.0,9785961485226,2023.0,Russian,Soft,237.0,163,28,213,Non-Fiction,3.0
Подсознательный бог: Психотерапия и религия,4500.0,9785001395171,2023.0,Russian,Hard,218.0,164,28,214,Mystery,2.8
Разговор с незнакомцем,3700.0,9785961484618,2023.0,Russian,Soft,488.0,165,28,215,History,0.1
Режим гения: Распорядок дня великих людей,4200.0,9785961485585,2023.0,Russian,Soft,302.0,166,28,216,Self-Help,1.7
Романтический манифест: философия литературы,7300.0,9785961461657,2023.0,Russian,Hard,199.0,167,28,217,Thriller,0.9
"То, чего нет в моих книгах: Воспоминания",4500.0,9785001397434,2023.0,Russian,Hard,196.0,164,28,218,Thriller,2.7
Центр тяжести,5900.0,9785001398417,2023.0,Russian,Soft,526.0,168,28,219,Biography,3.2
Цифровая дисциплина,4800.0,9785961473056,2023.0,Russian,Soft,368.0,169,28,220,Self-Help,3.6
Бережливый Дельфин Дейзи,5200.0,9785961483703,2023.0,Russian,Hard,32.0,170,28,221,Fantasy,1.3
Ճապոնական հրաշքը և ճապոնացիները,3400.0,9789939823119,2012.0,Armenian,Hard,227.0,171,4,222,Mystery,1.4
Խառնաշփոթ գույներ,1000.0,9789939694092,2023.0,Armenian,Soft,86.0,172,4,223,Thriller,1.1
Բնության տաճարում,3000.0,9789939990002,2023.0,Armenian,Soft,160.0,173,4,224,Mystery,0.1
Sapiens.Графическая история(часть 1.Рождение человечества),10600.0,9785001313748,2023.0,Russian,Soft,248.0,174,30,225,Romance,0.7
"Как работают наши чувства, авт Джонс Р.",7300.0,9785001314349,2023.0,Russian,Hard,272.0,175,30,226,Romance,0.9
"Какое будущее мы выбираем (КБС), авт. Фигерес К.",4900.0,9785001312543,2023.0,Russian,Soft,256.0,176,30,227,Romance,1.7
"Мальчишки из «Никеля», авт.Уайтхед К.",6100.0,9785001314288,2023.0,Russian,Soft,288.0,177,30,228,Fiction,2.3
Моя гениальная подруга,2500.0,9785001314110,2023.0,Russian,Soft,384.0,178,30,229,Self-Help,4.9
Книга Дипеша Чакрабарти «Провинциализируя Европу»,8900.0,9785604538210,2023.0,Russian,Soft,384.0,179,31,230,Fantasy,3.7
Moscow: A Guide to Soviet Modernist Architecture 1955-1991,10400.0,9788090671461,2023.0,English,Soft,352.0,180,31,231,Romance,2.8
"Книга:Павел Пепперштейн. Эксгибиционист""",11800.0,9785990971745,2023.0,Russian,Hard,628.0,181,31,232,Thriller,3.9
Книга: Виктора Мизиано «Пять лекций о кураторстве».,7800.0,9785604538258,2023.0,Russian,Soft,324.0,182,31,233,Mystery,4.3
